fdc_id,expected_category,known_failure,description
168671,OMNI,N,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"
1100076,OMNI,N,"Chicken and vegetable entree with noodles, frozen meal"
1100317,OMNI,N,"Egg, cheese, and ham on biscuit"
1098613,OMNI,N,"Turkey, drumstick, roasted, skin not eaten"
167622,OMNI,N,"Deer (venison), sitka, raw (Alaska Native)"
1100471,OMNI,N,"Soybean soup, miso broth"
1100163,OMNI,N,Oyster stew
169494,OMNI,N,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
1099052,OMNI,N,"Whiting, coated, baked or broiled, no added fat"
171814,OMNI,N,"Beef, short loin, top loin steak, separable lean only, trimmed to 1/8"" fat, all grades, raw"
174398,OMNI,N,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, cooked"
170224,OMNI,N,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted"
1103733,OMNI,N,"Vegetable beef soup, canned, prepared with water, or ready-to-serve"
1103800,OMNI,N,"Potato chicken pie, Puerto Rican style"
1102059,OMNI,N,"Egg roll, with chicken or turkey"
1098524,OMNI,N,"Chicken thigh, rotisserie, skin eaten"
1099671,OMNI,N,"Chicken or turkey salad, made with mayonnaise"
171791,OMNI,N,"Beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled"
1101851,OMNI,N,"Burrito, taco, or quesadilla with egg, potato, and breakfast meat"
175139,OMNI,N,"Fish, sardine, Atlantic, canned in oil, drained solids with bone"
1099187,OMNI,N,Beef stroganoff
1099284,OMNI,N,"Stewed codfish, no potatoes, Puerto Rican style"
1100177,OMNI,N,"Gravy, beef, fat free"
172377,OMNI,N,"Chicken, broilers or fryers, drumstick, meat only, cooked, stewed"
174336,OMNI,N,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean and fat, raw"
172650,OMNI,N,"Veal, loin, chop, separable lean and fat, cooked, grilled"
174350,OMNI,N,"Lamb, variety meats and by-products, brain, cooked, pan-fried"
172388,OMNI,N,"Chicken, broilers or fryers, thigh, meat only, cooked, roasted"
168138,VEGETARIAN_OR_OMNI,N,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted"
1099407,OMNI,N,Tuna noodle casserole with mushroom sauce
172605,OMNI,N,"Game meat, deer, shoulder clod, separable lean only, cooked, braised"
1102167,OMNI,N,"Stuffed shells, with chicken, with tomato sauce"
171222,OMNI,N,"Beef, chuck, short ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised"
170763,OMNI,N,"Fast foods, taco with beef, cheese and lettuce, soft"
169903,OMNI,N,"Pheasant, cooked, total edible"
1101731,VEGAN_VEGETARIAN_OR_OMNI,N,Cereal (Kellogg's Froot Loops)
1101691,VEGAN_VEGETARIAN_OR_OMNI,N,Cereal (Kellogg's All-Bran)
1101712,VEGAN_VEGETARIAN_OR_OMNI,N,Cereal (Post Cocoa Pebbles)
1101762,VEGAN_VEGETARIAN_OR_OMNI,N,Cereal (Quaker Life)
1101807,VEGAN_VEGETARIAN_OR_OMNI,N,Cereal (Kellogg's Special K Red Berries)
1099098,OMNI,N,"Abalone, cooked, NS as to cooking method"
172834,OMNI,N,"Emu, full rump, cooked, broiled"
1100060,OMNI,N,"Meatballs, Swedish, in gravy, with noodles, diet frozen meal"
174312,OMNI,N,"Lamb, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted"
173363,OMNI,N,"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, select, raw"
1102248,OMNI,N,"Pasta with cream sauce and meat, ready-to-heat"
1098370,OMNI,N,"Veal chop, fried, lean and fat eaten"
174426,OMNI,N,"Game meat, elk, ground, cooked, pan-broiled"
168311,OMNI,N,"Pork, fresh, loin, sirloin (roasts), boneless, separable lean only, cooked, roasted"
170232,OMNI,N,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted"
1098349,OMNI,N,"Lamb, shoulder chop, cooked, lean only eaten"
1098542,OMNI,N,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant"
171562,OMNI,N,"Soup, chicken broth or bouillon, dry"
1102574,OMNI,N,"Noodle soup, with fish ball, shrimp, and dark green leafy vegetable"
172068,OMNI,N,"McDONALD'S, Sausage McMUFFIN with Egg"
1102507,OMNI,N,"Rice, white, with vegetables, soy-based sauce, fat added"
174380,OMNI,N,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
173626,OMNI,N,"Chicken, broilers or fryers, thigh, meat and skin, cooked, stewed"
168318,OMNI,N,"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored"
173513,OMNI,N,"Babyfood, dinner, vegetables and chicken, junior"
174228,OMNI,N,"Fish, bass, striped, cooked, dry heat"
1100160,OMNI,N,"Crab soup, cream of, prepared with milk"
168287,OMNI,N,"Pork, cured, salt pork, raw"
1099267,OMNI,N,Spaghetti sauce with seafood and added vegetables
168032,OMNI,Y,"Oil, walrus (Alaska Native)"
1103345,VEGAN,N,"Cauliflower, raw"
1103346,VEGAN,N,"Celery, raw"
1103104,VEGAN,N,"Dandelion greens, raw"
1097549,VEGAN,N,"Almond milk, sweetened, chocolate"
1102709,VEGAN,N,"Raspberries, frozen"
1100828,VEGAN,N,"Bread, rice, toasted"
1104575,VEGAN,N,"Broccoli, cooked, as ingredient"
1103827,VEGAN,N,"Margarine, stick"
1103867,VEGAN,N,Sunflower oil
1102699,VEGAN,N,"Berries, NFS"
1100821,VEGAN,N,"Bread, barley"
1101070,VEGAN,N,"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; two crust"
1102399,VEGAN,N,"Rice, white, with tomatoes and/or tomato-based sauce, fat added"
1104413,VEGAN,N,Gin and Tonic
1100558,VEGAN,Y,Cashew butter
1103291,VEGAN,N,"Ketchup, reduced sodium"
1102442,VEGAN,N,"Rice, brown, with dark green vegetables, no added fat"
1104271,VEGAN,N,"Tea, iced, instant, green, unsweetened"
1103068,VEGAN,N,"Green banana, cooked in salt water"
1102671,VEGAN,N,"Mango, canned"
1103119,VEGAN,N,"Kale, canned, cooked, no added fat"
1101569,VEGAN,N,"Millet, NS as to fat"
1100523,VEGAN,N,"Coconut, packaged"
175218,VEGAN,N,"SILK Plain, soymilk"
1104288,VEGAN,N,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener"
169402,VEGAN,N,"Mushrooms, white, microwaved"
170000,VEGAN,N,"Onions, raw"
1103410,VEGAN,N,Aloe vera juice drink
172675,VEGAN,N,"Bread, french or vienna (includes sourdough)"
168481,VEGAN,N,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt"
169357,VEGAN,N,"Kohlrabi, cooked, boiled, drained, with salt"
171899,VEGAN,N,"Beverages, OCEAN SPRAY, Cran Raspberry Juice Drink"
169956,VEGAN,N,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt"
1104580,VEGAN,N,"Green pepper, cooked, as ingredient"
1104498,VEGAN,N,"Water, bottled, flavored (SoBe Life Water)"
1104274,VEGAN,N,"Tea, hot, herbal"
1104277,VEGAN,N,"Tea, hot, chamomile"
1103447,VEGAN,N,"Green beans, canned, cooked with oil"
170184,VEGAN,N,"Nuts, pistachio nuts, raw"
169262,VEGAN,Y,"Okra, frozen, unprepared"
172456,VEGAN,N,"Soymilk, original and vanilla, with added calcium, vitamins A and D"
1101631,VEGAN,N,"Rice, brown, cooked, no added fat"
168422,VEGAN,N,"Mushrooms, Chanterelle, raw"
169107,VEGAN,N,"Papaya nectar, canned"
171910,VEGAN,N,"Beverages, tea, green, brewed, decaffeinated"
170017,VEGAN,N,"Peas, green, frozen, cooked, boiled, drained, without salt"
174173,VEGAN,N,"Beverages, Vegetable and fruit juice drink, reduced calorie, with low-calorie sweetener, added vitamin C"
172231,VEGAN,Y,"Spices, turmeric, ground"
1104410,VEGAN,N,Daiquiri
173742,VEGAN,N,"Beans, kidney, california red, mature seeds, raw"
172436,VEGAN,N,"Pigeon peas (red gram), mature seeds, raw"
1100555,VEGAN,N,Almond butter
1100609,VEGAN,N,Tahini
167755,VEGAN,N,"Raspberries, raw"
170465,VEGAN,N,"Turnips, raw"
1102389,VEGAN,N,"Rice, white, with peas, no added fat"
168525,VEGAN,N,"Corn, sweet, yellow, cooked, boiled, drained, with salt"
1102424,VEGAN,N,Black beans and brown rice
170926,VEGAN,N,"Spices, ginger, ground"
1104162,VEGAN,N,"Frozen coffee drink, with non-dairy milk"
170286,VEGAN,N,Buckwheat
168849,VEGAN,N,"Snacks, banana chips"
1103118,VEGAN,N,"Kale, frozen, cooked, no added fat"
174273,VEGAN,N,"Soy flour, full-fat, raw"
168988,VEGAN,N,"Fireweed, young leaves, raw (Alaska Native)"
169227,VEGAN,N,"Dandelion greens, cooked, boiled, drained, without salt"
168528,VEGAN,N,"Cowpeas, young pods with seeds, cooked, boiled, drained, with salt"
170068,VEGAN,N,"Watercress, raw"
1102893,VEGAN,N,"Potato, boiled, from fresh, peel eaten, made with oil"
1103363,VEGAN,N,"Onions, green, raw"
167558,VEGAN,N,"Snacks, tortilla chips, plain, white corn, salted"
1103502,VEGAN_OR_VEGETARIAN,Y,"Corn, fresh, cooked with butter or margarine"
